product url,product name,product price,rating,no of reviews
http://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVCBFM7/ref=sr_1_34?crid=2M096C61O4MLT&keywords=bags&qid=1679497553&sprefix=ba%2Caps%2C283&sr=8-34,ADISA 35L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Green),599.,3.9 out of 5 stars,36 ratings
http://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1679497553&sprefix=ba%2Caps%2C283&sr=8-35,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",652.,4.4 out of 5 stars,"2,734 ratings"
http://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDIwODg2ODE0ODM5MTk2OjE2Nzk0OTc1NTM6c3BfYnRmOjIwMTA1NzE1ODIxNTk4OjowOjo&url=%2Fuppercase-Professional-resistant-sustainable-Anti-theft%2Fdp%2FB0BR1C59R8%2Fref%3Dsr_1_37_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679497553%26sprefix%3Dba%252Caps%252C283%26sr%3D8-37-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"uppercase SealPro Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers & Anti-theft for Men, Women, Boys and Girls, 750 Days warranty","1,900",4.9 out of 5 stars,23 ratings
http://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDIwODg2ODE0ODM5MTk2OjE2Nzk0OTc1NTM6c3BfYnRmOjIwMTI5MzYwNDEyODk4OjowOjo&url=%2FCasual-Waterproof-Backpack-College-Business%2Fdp%2FB09WJ16LPN%2Fref%3Dsr_1_38_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679497553%26sprefix%3Dba%252Caps%252C283%26sr%3D8-38-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,LOOKMUSTER (15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,599.,3.7 out of 5 stars,4 ratings
http://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NjQzNTU1NjY3Njk1MTA3OjE2Nzk0OTc2MjE6c3BfYXRmX25leHQ6MjAxMjU4OTk5MjA2OTg6OjA6Og&url=%2Fuppercase-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BWNBQXDZ%2Fref%3Dsr_1_33_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679497621%26sprefix%3Dba%252Caps%252C283%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,800.",4.9 out of 5 stars,18 ratings
http://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NjQzNTU1NjY3Njk1MTA3OjE2Nzk0OTc2MjE6c3BfYXRmX25leHQ6MjAwMzI1NjUwNDY4OTg6OjA6Og&url=%2FHEROZ-Backpack-Resistant-Computer-17-3-inch%2Fdp%2FB083N3DCTM%2Fref%3Dsr_1_34_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679497621%26sprefix%3Dba%252Caps%252C283%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,HEROZ Hacker 50 litres Nylon Travel Laptop Backpack Water Resistant Slim Durable Computer Book Bag Tracking Fits Up to 17.3-inch Laptop (058- ALL) (Navy Blue),"1,439.",4.1 out of 5 stars,"3,718 ratings"
http://www.amazon.in/Motherly-Diaper-Travel-Basic-Black/dp/B07QXSNDKN/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1679497621&sprefix=ba%2Caps%2C283&sr=8-35,motherly Diaper Bags for Mom Travel Basic Edition (Black),"1,536.",4.5 out of 5 stars,"2,335 ratings"
http://www.amazon.in/AUXTER-BLACKY-Duffel-Emboss-Black/dp/B07F2H25NP/ref=sr_1_39?crid=2M096C61O4MLT&keywords=bags&qid=1679497621&sprefix=ba%2Caps%2C283&sr=8-39,AUXTER Faux Leather 23 Cms Duffle Bag(AUX_GB_LE_Black -SE_0521_Black),376.,4.3 out of 5 stars,"8,912 ratings"
http://www.amazon.in/Genie-Glitter-Backpack-Women-compartments/dp/B097JHQH13/ref=sr_1_41?crid=2M096C61O4MLT&keywords=bags&qid=1679497621&sprefix=ba%2Caps%2C283&sr=8-41,"Genie Glitter Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose.","1,099.",4.3 out of 5 stars,393 ratings
http://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NjQzNTU1NjY3Njk1MTA3OjE2Nzk0OTc2MjE6c3BfbXRmOjIwMTEzNzg4MTc1Mzk4OjowOjo&url=%2FHEROZ-Backpack-Resistant-Durable-Notebook%2Fdp%2FB07MJZGXBP%2Fref%3Dsr_1_43_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679497621%26sprefix%3Dba%252Caps%252C283%26sr%3D8-43-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Grey & A. Blue 212),"1,349.",4.3 out of 5 stars,"7,738 ratings"
http://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NjQzNTU1NjY3Njk1MTA3OjE2Nzk0OTc2MjE6c3BfbXRmOjIwMTMyMTI0MjA4Mzk4OjowOjo&url=%2FHalf-Moon-Trekking-Bags-Compartment%2Fdp%2FB08PSX1LN9%2Fref%3Dsr_1_44_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679497621%26sprefix%3Dba%252Caps%252C283%26sr%3D8-44-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Half Moon 45L Hammer Waterproof Laptop Travelling Rucksack Trekking Backpack for Travel Journey bags for Men Women Boys & Girls with 17.3inch Laptop Compartment & Rain cover,"1,299.",4.1 out of 5 stars,"1,017 ratings"
